statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec,firstthought_sentiment,tpfeel_sentiment,benefit_sentiment,eitcthink_sentiment,taxpayer_gap
Texas,2,2.0,4.0,money the government takes from our paychecks that we work so hard for to put it in their pockets. ,2,80.0,three years ago before I lost my job but I still pay takes every time I go anywhere and buy anything.,It sucks cause it takes money out of my pocket that I could have used to feed my kids ,none at this time cause me nore my spouce have jobs,1.0,S.S. tax ,0.0,0,I have not seen my tax dollars pay for anything except stupid highways or as the government  calls them toll roads or another way of taking more of our hard earn money to put in their pockets and I bet they never have to do without a thing thanks to all of us working so hard while they sit back and think of other ways to take our money.,Everything that they say their going to do with our tax dollars but they never do.,Hell no I have not benefitted from my tax dollars at all and I can't even get the lazy people to fix my road like my tax dollars are suppose to do ,90.0,They give it to all these forgin countrys and we have no say so they bail out the rich and let the poor people die ,2.0,Gives us a little extra money to actually by a few extra things we have needed for a while,4.0,,4.0,1.0,4.0,1.0,1,2.0,4.0,1.0,4.0,4,4,6,1,4,44,42,1.0,1.0,0.627293163,-1,-1,-1,0,10.0
Wisconsin,1,3.0,4.0,corrupt politicians stealing from the poor to enrich themselves,1,92.0,yesterday (11/05/2014) at around 6:00 p.m.,"frustrated, abused, angry, and disgusted",sales taxes,1.0,"state, federal, and fica(social security)",0.0,none,"protective services (police, fire, emts), roads, parks","extravagant perks for elected officials, political waste and graft, unnecessary interest paid because of the inability of our government officials to balance a budget (all levels-local, state, federal), overpaid government employees, ","yes, from protective services, education, transportation, recreation facilities, and social services",98.0,"$299 hammers that sell for $2.99 at the hardware store, employing five or more people to do the job of one",3.0,,3.0,,6.0,,3.0,1.0,10,1.0,2.0,5.0,4.0,1,1,6,5,3,50,19,1.0,3.0,0.427902551,-1,-1,1,0,2.0
Pennsylvania,2,2.0,1.0,More money coming from my pockets.,1,80.0,I paid taxes on nonfood merchandise.,ok-I know some of the money goes to good causes. / ,income tax,1.0,"social security, medicare, federal, state, local",0.0,no,seniors benefits and educational funds,foreign aid and entertainment for the lawmakers,no,19.0,taxes used for entertainment,1.0,It made the family less liable for taxes paid over the year.,1.0,It helps out hard working poor and middle classed parents who has children and are struggling to survive in this economy.,6.0,4.0,3.0,1.0,92,1.0,3.0,3.0,4.0,2,1,6,2,1,39,19,2.0,12.0,1.096940294,0,1,-1,-1,10.0
Missouri,2,3.0,4.0,money coming out of pocket--like a bill,1,81.0,Last year I had to pay taxes ,"Well, ok as long as the money goes to take care of America and is taken care of responsibly",food taxes,1.0,Social security,1.0,0,Food stamps-TANF--Medicaid--Road upkeep,coins that are being made that no one will ever use,A little with the way the roads are taking care of and through food stamps,7.0,Paying for coins to be made that will never be used,1.0,It helps us to catch up on bills and buy any big appliances that we may be needing,1.0,I like it and it is much needed,7.0,5.0,3.0,1.0,65,2.0,2.0,2.0,4.0,4,2,6,3,1,26,36,1.0,3.0,0.427902551,0,1,1,1,9.0
New Mexico,1,6.0,7.0,It is Legalized Extortion and should be greatly reduced,1,38.0,I choose to no longer pay state or federal tax,Like I have been used and abused,Sales tax,1.0,Federal state FICA ,0.0,No,Military and defense of the country,Social programs for non citizens,No I do not,59.0,How legal citizens get the shaft while illegals get all the benefits it's sickening,3.0,,3.0,,4.0,7.0,1.0,1.0,3,1.0,1.0,5.0,3.0,2,2,6,3,4,32,25,1.0,9.0,0.3930594,0,-1,-1,0,52.0
Georgia,2,5.0,2.0,an expense that has become expensive,1,81.0,"at the grocery store, at a restaurant and at the gas station",I feel like I shouldn't have to pay such a high tax rate,"payroll, grocery, gas taxes",1.0,"state taxes, federal taxes",1.0,no,Im glad my tax dollars help to pay for roads and schools.,I'm upset my tax dollars pay for jails and politians,I benefit from the tax dollars that are paid for road and schools,50.0,I think the government waste tax dollars to pay for corrupt politians,1.0,gives a better refund,1.0,I think it helps taxpayers get a larger refund,1.0,4.0,3.0,1.0,49,1.0,3.0,3.0,4.0,1,1,3,3,1,11,31,2.0,12.0,1.103625348,0,1,1,1,9.0
Minnesota,1,5.0,1.0,"Fighting, bunch of idiots who think they're 100% bad",2,63.0,"2005, why do I need to describe the time I paid taxes?",It's ok I guess.  It's not like I paid in in the ned.,"For me, sales tax.",1.0,"Social security, uh....that was 9 years ago",0.0,0,"Roads, health care, not sure what else","Congress' salaries, trips, insurance",Yes - my health care is full through the state,49.0,spending it on themselves,3.0,,3.0,,9.0,1.0,3.0,1.0,15,1.0,3.0,3.0,4.0,2,1,3,5,3,24,48,1.0,3.0,0.782012106,-1,0,1,0,27.0
Georgia,1,6.0,4.0,Tax for everyone a must to the IRS.,1,100.0,last year filed next return.,Have to paid tax to the IRS.,income tax,1.0,federal tax,4.0,4,yes I bet somewhat glad to pay.,none I guess about upset.,yes I think so ,99.0,waste tax dollars of the people.,1.0,pay more to the family,1.0,alright for that part.,1.0,4.0,1.0,1.0,98,1.0,1.0,1.0,1.0,4,4,1,1,1,11,29,1.0,19.0,1.302865633,0,0,1,1,10.0
Connecticut,1,5.0,4.0,having to budget a lot more...,1,75.0,whenever you buy anything,sucks,property taxes,1.0,"social security, state, federal, ",1.0,0,education and social security,"politicians high salaries, excessive military spending, ",school system,70.0,"politicians high salaries, secret service for former presidents, wasted money on elections, wasted money on sending military to other countries where we make no difference in the long run",2.0,helps slightly but not enough,2.0,I think it is necessary because the cost of raising a child these days is very expensive,4.0,4.0,2.0,1.0,1,1.0,3.0,3.0,4.0,1,2,3,1,1,7,37,1.0,16.0,0.503497879,0,-1,0,0,15.0
Illinois,1,5.0,5.0,"too high, too complex, too much waste",1,46.0,had lunch. Paid a 7% tax on it.,"neutral, at least I have a job and can offord taxes",Property tax.,1.0,State and federal income tax. Social security. (if that is considered a tax),0.0,Myself and my wife.,"Schools, roads, police, fire dept, national defense.",Welfare and social security cheats. Abortions.,"Yes. Taxes support local and federal infrastructure, schools, police and fire depts, national defense.",21.0,"Burocracy, (helium reserve), roads to nowhere, welfare for drug addicts, ",1.0,It reduced our taxes somewhat.,1.0,Earned income credit does help low income families.,1.0,5.0,1.0,1.0,40,1.0,3.0,2.0,4.0,2,1,3,1,1,14,23,1.0,13.0,0.631508565,-1,0,1,1,44.0
Ohio,2,2.0,4.0,money deducted from paycheck to help fund government services,1,91.0,sales tax on household items,like I'm contributing to society,income tax,1.0,"fica, social security, city, state",0.0,0,"policemen, firefighters, infrastructure",can't think of anything else,"yes, peace of mind",41.0,research on obvious things,1.0,reduces them,2.0,good idea,5.0,2.0,3.0,1.0,50,1.0,2.0,2.0,4.0,2,1,3,1,3,36,23,1.0,5.0,0.427902551,1,1,1,1,1.0
California,2,3.0,1.0,to high or raise taxes always raising taxes on people that can't afford it,1,61.0,food taxes state and federal,do not like it,federal,1.0,state and federal,1.0,no,"children emergency funds, policemen, state funds",social sec that you may not collect on when you grow old,I'm not sure about that. I gaet confused about what is what.,81.0,any kind of equipment,2.0,don't pay as much taxes,4.0,,6.0,2.0,2.0,1.0,49,1.0,3.0,2.0,4.0,4,4,6,5,3,5,23,1.0,10.0,0.3930594,0,-1,-1,0,29.0
Georgia,1,2.0,5.0,Complicated and a burden on the ordinary citizen,1,51.0,Paid sales tax at the grocery store ,burdensome,federal income tax,1.0,"Federal, state, fica, medicare",0.0,no,strong military and elderly care,"food stamps,  welfare, supporting planned parenthood ",no,18.0,"education department, EPA, ",3.0,,3.0,,6.0,5.0,1.0,1.0,27,1.0,2.0,4.0,4.0,2,1,3,1,1,11,24,1.0,12.0,0.432154266,-1,-1,-1,0,39.0
Florida,2,5.0,4.0,"unequal, those who can pay don't and those who can't pay too much, the system needs to be redone.",1,50.0,tax on purchase every time I bought something.  ,"its ok, would be better if the taxes would be better distributed with the programs that they should be funding.",local and state purchase taxes,1.0,"federal income, ss tax, state and local taxes",0.0,0,"social programs that actually help people get back on their feet when they need it. Medical, cash, and food,","Excessive salaries of any one.  salaries should be like the rest of the country, not outragously over and above the rest of us.",use programs that taxes paid for where I was not charged to use,80.0,"a hammer for $25,000.00",1.0,wonderful when it applies,1.0,it is good should be expanded,1.0,4.0,4.0,1.0,81,1.0,4.0,3.0,4.0,1,1,6,3,1,10,24,1.0,14.0,0.506566333,-1,1,1,1,40.0
Virginia,1,3.0,5.0,how much I dislike government policies,1,70.0,federal tax this past April,not especially good,none,1.0,"federal and state withholding, fica, medicare",0.0,0,cannot think of anything that my paid taxes make me feel glad about,welfare for people who are to darn lazy to work,no I do not feel that I have benefited from my tax dollars,80.0,"welfare cheaters, unnecessay studies",3.0,,3.0,,6.0,5.0,2.0,1.0,19,1.0,2.0,2.0,4.0,2,1,3,3,1,47,12,1.0,11.0,0.631671616,-1,-1,-1,0,20.0
South Carolina,1,4.0,5.0,government out of control spending.,1,60.0,The other day at the store.,Alright I guess.,land tax.,1.0,"Federal, State, FICA, SS.",0.0,No.,Social Security and Armed Forces.,Wasted money on un needed programs and the millions on false energy infeastments.,Social Security and Medicare.,60.0,"Celintra, rases for senate, Oboma's to meany vacations and his waestful spending on stupid stuff.",2.0,None any more.,4.0,,6.0,7.0,2.0,1.0,19,,3.0,1.0,4.0,1,1,6,3,4,41,26,1.0,10.0,0.432154266,0,1,1,0,30.0
Minnesota,1,4.0,2.0,lowering retirement income,1,60.0,at the grocery store a couple days ago,its ok if the taxes do not get raised,property tax,1.0,"fica, state",0.0,no,should be social security but congress both parties screwed that up,pork barrel projects that do not seem to be worth mich,"highway systems, most advances today can be traced back to military research funding, highways included per eisenhower",60.0,congress and senatoe perdiem,1.0,does not any more,1.0,help slightly reduce financial burdens,1.0,4.0,2.0,1.0,31,1.0,1.0,2.0,4.0,1,1,2,1,1,24,20,1.0,17.0,1.624211387,-1,1,0,1,30.0
Ohio,1,2.0,7.0,money collected by the federal and sate governments,1,29.0,"on wednesday october the fiftheen, 2014",it sucks,sales tax,1.0,"federal, state, fica",0.0,no,the security of this country,stupid pork projects that do absollutely nothing to better mankind,nothing more than i have previously stated,81.0,"again, nothing more than i have already statedd",1.0,it doesn't affect me or my fam ily anymore,3.0,,6.0,6.0,1.0,1.0,9,1.0,1.0,1.0,2.0,2,1,1,3,1,36,18,1.0,4.0,0.427902551,0,-1,0,0,61.0
New York,2,2.0,4.0,more money to pay for anything,1,81.0,today at Walmart for the things I bought,terrible,tax on clothes,1.0, / fica,0.0,no,my social security benefits,foolish programs that only a select member of people benefit from ,I receive social security benefits,99.0,programs for foolish projects,3.0,,3.0,,6.0,4.0,3.0,1.0,12,1.0,4.0,4.0,4.0,2,1,3,1,3,33,3,1.0,9.0,0.627845355,-1,-1,1,0,9.0
Hawaii,2,3.0,2.0,Yearly filing of money made ,1,38.0,I paid taxes on my meal today ,Sucky,Don't know ,1.0,Fico,0.0,0,I am happy to contribute to Social security ,Welfare people who are cheating the government,Yes in a way I was helped out for being a single mother ,33.0,Stupid testing ,2.0,Extra money back,2.0,Good to have,1.0,3.0,4.0,1.0,55,1.0,3.0,3.0,4.0,4,4,6,3,3,12,40,4.0,9.0,1.834465926,0,-1,1,1,52.0
New York,2,3.0,1.0,"GOVERMANT,H&R BLOCK,INTERNAL REVENUE SERVICE",1,60.0,EVERY TIME I GO TO THE STORE I PAY TAXES,OK,FOOD,1.0,FEDERAL AND STATE,0.0,0,"IMPORT EXPORT,WELLFAR SOCIAL SECURETY","NO I WAS NOT UPSET,EVERY PERSON SHOULD PAY",FOR RETIREMENT OR ILLNESS,0.0,NONE,4.0,,1.0,A GOOD IDEA,6.0,7.0,3.0,1.0,51,1.0,3.0,3.0,4.0,1,4,6,1,3,33,19,1.0,2.0,0.341164062,0,1,-1,1,30.0
North Carolina,2,6.0,4.0,"the internal revenue service.  Also, money that the goverment requires that you pay.",1,42.0,I sent a check to the internal revenue service,Do not like it,gains,1.0,"social security, federal state, and medicare",2.0,no,"education, kids that need assistance",People that can work but are not and then our taxes dollars go to subsidize them,I presume the roads that I drive on,64.0,spent inefficiently,4.0,,4.0,,1.0,4.0,2.0,1.0,41,1.0,2.0,4.0,4.0,2,1,3,1,1,34,40,1.0,,0.949593622,-1,-1,0,0,48.0
California,1,5.0,7.0,"democrats, who want to tax everything",1,80.0,sales tax today for lunch,no special feelings either positive or neagative,sales tax,1.0,state and federal taxes,0.0,0,"services, such as fire and police",taxes that fund things that are of no interest to me,there are services that have been of use to me as mentioned previously,50.0,payment for parts for government jobs,2.0,does not affect today,4.0,,2.0,6.0,3.0,1.0,42,1.0,3.0,3.0,4.0,2,1,6,1,1,5,17,4.0,19.0,4.423381849,1,1,0,0,10.0
Colorado,1,2.0,4.0,Democrats raising taxes for big government,1,52.0,Last year I paid taxes during tax time,Like I'm giving money at gunpoint to a corrupt government,employment tax and sales tax,1.0,"Federal, state, social security",1.0,no,"Helping run base government offices, police, and fire department. Schools used to be on the list until the Unions started running them.","Waste, supporting people that are not here lawfully from other countries, wasteful grants, Dictator Obama, his family and there vacations! I.R.S., CIA listening to Americans and looking at e-mails of Americans, Too many government wastes to list.",no,85.0,"Illegal immegrents, and government spending",2.0,don't know,4.0,,3.0,6.0,1.0,1.0,2,1.0,1.0,1.0,4.0,2,1,3,1,1,6,33,1.0,14.0,0.460739774,0,1,-1,0,38.0
New York,1,6.0,1.0,Contributions to a governmental entity that help it carry out its functions,1,99.0,I. Paid sales tax on purchases that I made yesterday.,Great,Income tax,1.0,"federal income tax, state income tax, Medicare, social security",0.0,0,"Roads, defense, safety net for the poor and elderly.",High pensions for elected representitives,"Infrastructure, subsidized student loans.",6.0,Uncxollected taxes that are owed to the government,3.0,,1.0,I think that they are helpful for those who can claim them,6.0,2.0,1.0,1.0,9,1.0,1.0,1.0,4.0,2,1,3,1,1,33,20,1.0,15.0,0.503497879,1,1,0,1,9.0
Tennessee,1,2.0,3.0,"don't know,republican will raise taxes for poor and lower for rich",2,90.0,Draw social security disability,Don't know,None,1.0,Over 12 yrs ago,0.0,0,"None,when I was paying taxes,didn't get much back,after paying in alot","Most of everything ,didn't have much",None,70.0,When most isn't for the people,3.0,,3.0,,9.0,4.0,4.0,1.0,48,2.0,3.0,3.0,,2,2,6,3,4,43,39,1.0,2.0,0.627293163,-1,0,0,0,0.0
New York,2,6.0,1.0,"Mandatory payment of portion of income to government to fund social and government services.  Also comes to mind that the tax system in the US is regressive (i.e., more burden on lower income) rather than progressive (higher income earners should pay more or at least same rate as lower income classes).",1,66.0,"I pay quarterly estimated income taxes on self-employment income; last payment was in Sept.  I also pay sales taxes on all non-food items purchased, so that would have been this past week.",A good citizen.,Income taxes.,1.0,Income taxes.  Social security taxes.  Medicare taxes.,0.0,No,"Infrastructure (roads, etc.).  Unemployment.  Medicare.  Government services.","Defense.  Wars.  Special interest projects.  Corporations who use tax laws to get out of paying virutally any taxes, especially compared to the income/profit they receive.",Infrastructure.  Local government services.,40.0,"Government beaurocracy--too mahy employees/levels of government that leads to ineffeciency (e.g., VA)",3.0,,3.0,,1.0,3.0,2.0,1.0,10,1.0,2.0,2.0,4.0,2,1,3,1,1,33,27,1.0,16.0,0.503497879,-1,1,0,0,24.0
District of Columbia,2,2.0,2.0,I think about people paying there taxes.,1,88.0,I paid my taxes in lst month,I feel okay.,i dont know,1.0,I can't remember at the momenr,2.0,2,I hope it paid for cleaning the enivorment and the dirty fishing waters because it a mess and it stinks.,nothing I can't think of.,"no , and I don't know",61.0,just some unessary things ,4.0,,3.0,,1.0,3.0,4.0,1.0,6,1.0,4.0,5.0,4.0,1,4,6,5,3,9,49,2.0,8.0,2.067269469,0,1,-1,0,2.0
Florida,2,6.0,1.0,They always go higher and they need reforming,1,82.0,I paid sales tax on some items I bought today.,We all have to pay our share to keep government going. / ,Property taxes,1.0,Withholding taxes,0.0,No,"The library, social security and Medicare",Political races and campaign coffers,Yes because now I collect Social Security and Medicare,19.0,Hiring favorite contractors,3.0,,3.0,,6.0,2.0,1.0,1.0,42,1.0,1.0,2.0,3.0,2,1,6,3,1,10,22,1.0,12.0,0.432154266,0,1,1,0,8.0
New York,2,5.0,5.0,uncle sam wants to take my money,1,54.0,sales tax to department stores,none,none,1.0,,2.0,0,"pays for education, interstate highway, etc.",for welfare and the poor that are not really poor,none,58.0,none,2.0,it lowers and saves me some money,2.0,it's a great incentive to have kids,1.0,3.0,2.0,1.0,58,1.0,2.0,2.0,2.0,1,2,2,1,1,33,38,4.0,15.0,2.349898524,0,0,0,1,36.0
California,1,6.0,4.0,Devil but necessary to government to maintain operation.,1,95.0,Pay income tax and consumption tax,Responsibilities and obligations,income tax,1.0,income tax,1.0,None,more focus on welfare and health sectors.,much more for military expenditure,Be contributing reasonable goverment operation.,70.0,The huge  Military Spending,1.0,reduce the mount of my earnings,2.0,necessary but should be less ,1.0,4.0,1.0,1.0,50,1.0,2.0,2.0,4.0,2,2,3,1,1,5,51,1.0,19.0,2.165646716,-1,0,0,0,5.0
Michigan,2,5.0,2.0,Money paid to the government to help fund public services,1,71.0,Paid sales tax on a grocery shopping trip today,"It feels kind of frustrating seeing part of your paycheck disappear, but I also know it is important for many reasons, and necessary to help fund important public services",Federal Income Tax,1.0,"Federal Income, Social Security, MI State Tax",0.0,No,"Public Services, Education ","I think there is too much unnecessary spending on national defense, wars","Yes, I received a very good education in public school, I live in a community with a great hospital, police department, fire department, etc",5.0,"Nothing specific, there's just bound to be waste somewhere",3.0,,2.0,I don't know too much about it,1.0,2.0,2.0,1.0,60,1.0,3.0,3.0,4.0,2,1,3,5,1,23,60,1.0,13.0,5.00008301,1,1,1,0,19.0
Florida,2,3.0,6.0,exces government spending,1,60.0,weekly taxes deducted from my paycheck,part owner of the local/state/national government,local property taxes,1.0,federal and medicare,0.0,1,police & fire departments,all of Obama's administration,"police, fire protection, trash & recycle pick up plus streets & roads we drive on",55.0,federal goverment,3.0,,4.0,,2.0,6.0,3.0,1.0,32,1.0,1.0,2.0,3.0,1,1,3,1,1,10,21,1.0,,0.519600055,0,0,-1,0,30.0
Kansas,2,2.0,2.0,hopefully helps with programs in my area,2,80.0,not sure when I paid taxes,ok,house,1.0,local,0.0,no,streets education and home,I am not upset at what tax dollars pay for,no,60.0,trash,3.0,,3.0,,8.0,4.0,,2.0,60,2.0,4.0,,4.0,1,2,6,1,1,17,49,1.0,13.0,1.154111704,1,1,-1,0,10.0
Massachusetts,2,2.0,,taxes on the house or anything you own ,1,99.0,my car  and the house I once own,okay as people pay what they need to pay and not goof off,fininaces for the car and the house it depends ,1.0,SSI and State ,0.0,no,anything that is good and worth it you need ot pay taxes for,you need a job to pay taxes or u will get into trouble,yes working all your life you should have the benifits to get it back at the end of the year,100.0,not to sure the only thing I think about it recycle,1.0,not sure what we need eveything goes it to it,1.0,cool when u go to school and at the end u get credit ,2.0,,,2.0,60,2.0,4.0,3.0,4.0,4,4,6,3,4,22,32,1.0,1.0,0.341164062,0,0,1,1,9.0
California,2,3.0,,fraudulent charges unfair ,1,87.0,at the grocery store when i bought soda,horrible,gas tax,1.0,social security,2.0,0,welfare departments for food ,space exploration in outerspace,not really,52.0,spending governent money on space,1.0,gives extra money that is needed but never enough,3.0,,2.0,4.0,2.0,1.0,71,2.0,3.0,3.0,2.0,4,4,6,3,3,5,45,1.0,10.0,0.718334602,-1,-1,0,0,3.0
Oregon,2,2.0,1.0,the boston tea party revolt,1,80.0,staying at a htole and paying the city tax. I live in Oregon so there is no sales tax for the most part,"some days ok, some days not so ok",I would say income tax,1.0,"do direct deposit, don't see paycheck",0.0,no,I would have to say freedom,stupid things that are not needed,no,60.0,"spending on things not needed, especially overpaying for them",4.0,,4.0,,1.0,1.0,2.0,2.0,40,2.0,4.0,3.0,4.0,1,2,6,1,3,38,33,1.0,,0.4725944,1,1,-1,0,10.0
North Carolina,1,2.0,3.0,piece of shit assholes okay,3,49.0,i don't fucking remember dickhead,like a burning bush shoved up my ass,the mother fucking car tax,1.0,i can't remember assholes,0.0,0,it's a waste of money for useless projects,"pork barrel projects,thank you sarah pailin,you bitch",oh hell no you asshole,80.0,don't go there you mother fucker,3.0,,4.0,,4.0,4.0,4.0,1.0,20,1.0,,3.0,4.0,4,4,6,5,1,34,26,1.0,2.0,0.343243209,-1,-1,-1,0,41.0
Wisconsin,2,2.0,4.0,less money for me to live on,1,70.0,at the store when shopping for household supplies,cheated,income,1.0,federal  / state / social security,0.0,no,social security / medical assistance / helping military,high incomes and benefits for political positions / stupid wasteful studies / using money to help other countries with no regard for the people in our own country,receiving widow's benefits from social security,90.0,none in particular,3.0,,4.0,,6.0,4.0,,1.0,5,1.0,2.0,2.0,4.0,2,1,3,2,1,50,20,1.0,8.0,0.538743107,0,-1,1,0,20.0
Pennsylvania,2,6.0,1.0,I think of the words stress and complicated,1,83.0,I last paid sales tax when buying an item in stores,I feel neutral,sales tax,1.0,"local, state and federal taxes",0.0,0,I am glad they pay for social security,space exploration and sending troops to fight in wars,no,61.0,I think of republicans wasting my money,3.0,,3.0,,2.0,2.0,2.0,1.0,56,1.0,2.0,2.0,4.0,4,4,6,5,1,39,51,1.0,12.0,0.784998321,-1,0,-1,0,7.0
